accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
AB330118.1	52275	NA	NA	NA	NA	NA	NA	GW	NA	NA	Human adenovirus 37	NA	NA	NA	synonym: Human adenovirus type 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330091.1	28275	NA	NA	NA	NA	NA	NA	J. J.	NA	NA	Human adenovirus 10	NA	NA	NA	synonym: Human adenovirus type 10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ900900.1	52275	GW [76-19026]	NA	NA	Netherlands	NA	NA	NA	37	NA	Human adenovirus type 37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149639.1	46941	NA	NA	NA	NA	NA	NA	NA	46	NA	Human adenovirus type 46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149636.1	46938	NA	NA	NA	NA	NA	NA	NA	43	NA	Human adenovirus type 43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268319.1	130310	NA	Homo sapiens; dev_stage: child	58[P58H58F58]	Argentina: Cordoba	NA	2009-12-31	human/ARG/arg_00101/2010/58[P58H58F58]	NA	NA	Human adenovirus D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HQ883276.1	980087	NA	Homo sapiens	NA	Argentina	NA	1996-01-31	human/ARG/AdCor-96-487/1996/58[P58H58F29]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EF195772.1	46922	NA	NA	NA	Germany	NA	NA	17'H30	17	NA	Human adenovirus type 17	NA	NA	NA	species D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149628.1	46932	NA	NA	NA	NA	NA	NA	NA	30	NA	Human adenovirus type 30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY704407.1	10541	CU-B14649	Homo sapiens	B11	Thailand	nasopharyngeal aspirate	2014-12-31	NA	NA	NA	Human adenovirus B11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
