accver	taxid	country	collection_date
KM677954.1	32608	USA: MCRD San Diego, CA	2013-12-31
KM677953.1	32608	USA: MCRD San Diego, CA	2013-12-31
KY618676.1	130310	Germany	2014-12-31
MG000763.1	714978	Argentina	2000-03-30
KJ626292.1	130310	USA	2009-12-31
KJ626291.1	130310	USA	2009-12-31
AB765926.1	1972755	NA	NA
KF268332.1	130310	Germany	1986-04-06
JN226764.1	46940	USA	1981-12-31
AB330126.1	46940	NA	NA
KF268207.1	1643649	Germany	1987-10-31
DQ149638.1	46940	NA	NA
DQ349216.1	108098	USA	NA
DQ349210.1	108098	USA	NA
DQ349209.1	108098	USA	NA
DQ349208.1	108098	USA	NA
DQ349207.1	10535	USA	NA
AB330101.1	46923	NA	NA
KF268200.1	130310	USA: Indiana	2004-12-31
JN226753.1	46929	USA	1957-12-31
JN226749.1	46923	Saudi Arabia	1954-12-31
EF151417.1	433356	Germany	NA
AB330108.1	46929	NA	NA
DQ149625.1	46929	NA	NA
GQ384080.1	46936	USA	2007-12-31
DQ149619.1	46923	NA	NA
KF279629.1	46925	United Kingdom	1992-12-31
LC314153.1	130310	Japan:Kumamoto	2015-12-08
LC309237.1	130310	Japan	2016-12-31
JQ326209.1	28278	USA	NA
AB330117.1	46936	NA	NA
FJ824826.1	46930	USA	NA
AB330109.1	46930	NA	NA
DQ149626.1	46930	NA	NA
AB448771.1	28278	NA	NA
AB330100.1	28278	NA	NA
DQ149618.1	28278	NA	NA
KF268320.1	130310	Germany	1987-12-13
MK174992.1	130310	Canada	2010-07-31
DQ149631.1	46936	NA	NA
JN226750.1	46925	Saudi Arabia	1955-12-31
HQ007053.1	130310	Canada	2007-12-31
JN162672.1	1091198	United Kingdom	1991-12-31
AB330104.1	46925	NA	NA
AB448774.1	28278	NA	NA
AB448773.1	28278	NA	NA
AB448772.1	28278	NA	NA
AB330133.1	28278	NA	NA
DQ149621.1	46925	NA	NA
KF268213.1	130310	USA	NA
JQ326208.1	1145295	USA: Pittsburgh	1988-12-31
JQ326207.1	1145295	USA: Miami	1954-12-31
EF121005.1	1145295	USA	NA
KF268312.1	130310	Germany	1984-02-05
FJ025918.1	585082	NA	NA
JN226759.1	46943	Netherlands	NA
AB330119.1	46943	NA	NA
DQ149633.1	46943	NA	NA
KM659171.1	108098	Uganda	NA
KM659169.1	108098	Uganda	NA
AB330107.1	46928	NA	NA
EF153474.1	46928	NA	NA
KY704408.1	10541	Thailand	2015-12-31
FJ025923.1	585060	NA	NA
JN163987.1	1076301	NA	NA
DQ149624.1	46928	NA	NA
KM659166.1	108098	Uganda	NA
KF976526.1	130310	Cote d'Ivoire	2011-12-31
KF976531.1	130310	Cote d'Ivoire	2011-12-31
MK736449.1	714978	China	2018-06-30
MK736448.1	714978	China	2018-06-30
MK736453.1	714978	China	2018-08-31
MK736452.1	714978	China	2018-08-31
MK736451.1	714978	China	2018-07-31
MK736450.1	714978	China	2018-07-31
MG000753.1	10541	Argentina	2000-09-17
AY530876.1	175569	NA	NA
AY530878.1	175568	NA	NA
JN657519.1	31544	Paraguay	2010-07-13
KM659139.1	108098	Democratic Republic of the Congo	NA
KR606386.1	714978	Israel	2013-06-06
KP274049.1	130310	Cote d'Ivoire	2011-12-31
AB018425.1	10521	NA	NA
DQ115409.1	10541	NA	NA
EU078562.1	108098	China	NA
MH513942.1	130310	Iran: Ahvaz	NA
LC215426.1	556926	Japan:Kumamoto	2012-05-30
LC215424.1	556926	Japan:Kumamoto	2012-04-11
FJ169625.1	130310	NA	NA
AB330090.1	10527	NA	NA
AJ854486.1	10527	NA	NA
KF268197.1	130310	USA: Connecticut	2004-12-31
AB605245.1	556926	NA	NA
AB605244.1	556926	NA	NA
AB605243.1	556926	NA	NA
AB605242.1	130310	NA	NA
AB369373.1	130310	NA	NA
AB369372.1	130310	NA	NA
AB369371.1	130310	NA	NA
KY618678.1	130310	Germany	2014-12-31
MK116618.1	556926	USA: CA,Los Angeles	2017-06-29
LC215428.1	556926	Japan:Kumamoto	2012-09-19
LC215422.1	556926	Japan:Kumamoto	2012-02-06
AB605241.1	130310	NA	NA
AB605240.1	130310	NA	NA
AB330098.1	46922	NA	NA
KF268327.1	130310	Germany	1988-05-25
AB330113.1	46933	NA	NA
KY618677.1	130310	Germany	2014-12-31
LC215444.1	52275	Japan:Kumamoto	2014-03-26
LC215443.1	52275	Japan:Kumamoto	2014-03-24
LC215440.1	52275	Japan:Kumamoto	2014-03-05
LC215437.1	1907210	Japan:Kumamoto	2014-02-16
LC215436.1	1907210	Japan:Kumamoto	2014-02-03
LC215434.1	1907210	Japan:Kumamoto	2014-01-26
LC215433.1	1907210	Japan:Kumamoto	2014-01-26
LC215429.1	1907210	Japan:Kumamoto	2012-12-19
KP641339.1	130310	Germany	2012-12-31
KF268334.1	130310	Germany	1988-03-27
KF268326.1	130310	Germany	1988-05-19
JN162671.1	1091197	United Kingdom	1992-12-31
HQ910407.1	46922	Saudi Arabia	1954-12-31
AB475146.1	52275	NA	NA
AB475144.1	52275	NA	NA
AB448778.1	52275	NA	NA
JN226756.1	46933	NA	1964-12-31
AB330130.1	218120	NA	NA
DQ393829.1	218120	NA	NA
KF268330.1	130310	Germany	1986-03-07
JN226760.1	46935	El Salvador	1976-12-31
JN226755.1	46932	USA	1958-12-31
AP012285.1	1094363	NA	NA
JN935766.1	1124795	USA	1958-12-31
AB475149.1	52275	NA	NA
AB330120.1	46935	NA	NA
DQ149634.1	46935	NA	NA
KY618679.1	130310	Germany	2013-12-31
DQ149641.1	218120	NA	NA
AB695622.1	28275	NA	NA
KF268324.1	130310	Germany	1987-12-31
AB724351.1	28275	NA	NA
AB695621.1	28275	NA	NA
AB500123.1	52275	NA	NA
AB330111.1	46932	NA	NA
AY875648.1	46941	NA	NA
KF268206.1	130310	Germany	1984-04-09
JN226758.1	46934	NA	1964-12-31
AP012302.1	1101371	NA	NA
DQ149630.1	46934	NA	NA
JN226752.1	46927	USA	1955-12-31
DQ149623.1	46927	NA	NA
KF268208.1	130310	Germany	NA
KF268203.1	130310	USA	NA
KF268122.1	130310	USA: Pittsburgh, Pennsylvania	1988-12-31
KC529648.1	46938	USA	1980-12-31
JN226762.1	46938	USA	1980-12-31
AB500122.1	52275	NA	NA
AB475143.1	52275	NA	NA
AB448777.1	52275	NA	NA
AB448776.1	52275	NA	NA
AB448775.1	52275	NA	NA
AB330118.1	52275	NA	NA
AB330091.1	28275	NA	NA
DQ900900.1	52275	Netherlands	NA
DQ149639.1	46941	NA	NA
DQ149636.1	46938	NA	NA
KF268319.1	130310	Argentina: Cordoba	2009-12-31
HQ883276.1	980087	Argentina	1996-01-31
EF195772.1	46922	Germany	NA
DQ149628.1	46932	NA	NA
KY704407.1	10541	Thailand	2014-12-31
AB330106.1	46927	NA	NA
JN226747.1	46921	USA	1954-12-31
AB475148.1	52275	NA	NA
AB330127.1	46941	NA	NA
AB330124.1	46938	NA	NA
DQ149632.1	52275	NA	NA
MF476839.1	130310	NA	1954-12-31
LC215431.1	880565	Japan:Kumamoto	2013-05-28
LC066535.1	130310	Japan: Osaka	2010-12-31
KJ194509.1	130310	Netherlands	1993-01-10
KF268333.1	130310	USA: Pittsburgh, Pennsylvania	1991-12-31
KF268313.1	130310	USA: Pittsburgh, Pennsylvania	1991-12-31
KF268209.1	130310	USA	NA
JN226748.1	1604283	Saudi Arabia	1954-12-31
AB665252.2	130310	Japan: Osaka	2010-12-31
AB562586.1	28276	NA	NA
AB330114.1	46934	NA	NA
DQ149617.1	28276	NA	NA
DQ149629.1	46933	NA	NA
AB245425.1	10527	Japan:Hiroshima	NA
JN226757.1	46942	USA	1981-12-31
AB330128.1	46942	NA	NA
AB330094.1	46921	NA	NA
DQ149616.1	46921	NA	NA
MF476844.1	130310	NA	NA
MF476843.1	130310	NA	NA
MF476841.1	130310	NA	NA
LC215445.1	880565	Japan:Kumamoto	2010-11-07
LC215430.1	880565	Japan:Kumamoto	2012-11-21
LC215425.1	880565	Japan:Kumamoto	2012-05-30
KF268329.1	130310	Germany	1982-07-02
KF268325.1	130310	Germany	1986-05-19
KF268322.1	130310	Germany	1986-05-19
AB719408.1	880565	Japan: Hyogo prefecture, Himeji city	2011-05-11
AB690367.1	880565	Japan: Osaka	2010-12-31
AB630325.1	880565	Japan: Fukui	NA
HM770721.2	880565	France	2007-12-31
AB562588.1	130310	NA	NA
AB562587.1	46931	NA	NA
AB330110.1	46931	NA	NA
AB330096.1	28276	NA	NA
FJ619037.1	46924	Saudi Arabia	1955-12-31
AB475145.1	52275	NA	NA
FJ404771.1	46924	Saudi Arabia	1955-12-31
DQ792570.1	10532	NA	NA
DQ149642.1	245072	NA	NA
DQ149640.1	46942	NA	NA
DQ149620.1	46924	NA	NA
AF108105.1	46922	NA	NA
MF476842.1	130310	NA	NA
MF476840.1	130310	NA	NA
KX827426.1	130310	Paraguay	2010-07-11
KF268204.1	130310	Germany	1988-05-19
JN226754.1	46931	USA	1958-12-31
MF198454.1	2064736	USA	2010-09-30
KP274043.1	130310	Cote d'Ivoire	2011-12-31
